Timer,K_decision,Rejection_Threshold,Final_Error,Converged
4,4,11,2640.3259208316886,False
4,4,12,1884.384710129912,False
4,4,13,1993.663873610357,False
4,4,14,1877.153507565918,False
4,5,5,1787.8878593686711,False
4,5,6,2487.14821812912,False
4,5,7,1678.0053509321351,False
4,5,8,1707.5144172063153,False
4,5,9,1728.5399705557159,False
4,5,10,1646.051828355392,False
4,5,11,1862.7325751010533,False
4,5,12,1696.7682580399041,False
4,5,13,1615.656105434069,False
4,5,14,1615.114669973035,False
4,6,5,2020.0961198718664,False
4,6,6,2086.0550708248015,False
4,6,7,3027.940899045662,False
4,6,8,2200.8180636277934,False
4,6,9,2955.319826099632,False
4,6,10,2252.9421113403723,False
4,6,11,2138.13821388333,False
4,6,12,2515.9940580440857,False
4,6,13,2197.7694773440608,False
4,6,14,1876.2391628913542,False
4,7,5,1787.2181554996394,False
4,7,6,1937.7767825815677,False
4,7,7,1843.4652183149767,False
4,7,8,1798.324638952817,False
4,7,9,1626.7507277549535,False
4,7,10,1659.830948692182,False
4,7,11,1646.2857943821439,False
4,7,12,1600.4067942515314,False
4,7,13,1611.3842472102147,False
4,7,14,1603.1896645968864,False
4,8,5,1562.8130797148078,False
4,8,6,1563.0566443509094,False
4,8,7,1562.4042751736865,False
4,8,8,1558.724956862404,False
4,8,9,1575.3758379116591,False
4,8,10,1562.296749504254,False
4,8,11,1557.3960851524712,False
4,8,12,1557.3960851524712,False
4,8,13,1557.3960851524712,False
4,8,14,1557.3960851524712,False
4,9,5,2270.3759505528196,False
4,9,6,2132.1342859595024,False
4,9,7,2077.5540945645525,False
4,9,8,1727.3308506736307,False
4,9,9,4112.473592598977,False
4,9,10,2087.6524440679727,False
4,9,11,1557.3960851524712,False
4,9,12,1557.3960851524712,False
4,9,13,1557.3960851524712,False
4,9,14,1557.3960851524712,False
4,10,5,1557.3960851524712,False
4,10,6,1557.3960851524712,False
4,10,7,1557.3960851524712,False
4,10,8,1557.3960851524712,False
4,10,9,1557.3960851524712,False
4,10,10,1557.3960851524712,False
4,10,11,1557.3960851524712,False
4,10,12,1557.3960851524712,False
4,10,13,1557.3960851524712,False
4,10,14,1557.3960851524712,False
5,1,5,4423.568968456456,False
5,1,6,4410.187303434048,False
5,1,7,4474.757767568591,False
5,1,8,4435.10794466586,False
5,1,9,2168.9235749311365,False
5,1,10,4442.796664055552,False
5,1,11,4463.7157090471965,False
5,1,12,3009.070480071819,False
5,1,13,2343.8777220127827,False
5,1,14,2321.0532648811627,False
5,2,5,1854.0875792339161,False
5,2,6,1730.5505088127763,False
5,2,7,1826.622256009845,False
5,2,8,1659.1132795483697,False
5,2,9,1704.2220821483359,False
5,2,10,1704.0981740398115,False
5,2,11,1729.7317255449877,False
5,2,12,1630.756791360222,False
5,2,13,1766.2383547826664,False
5,2,14,1759.0873047618115,False
5,3,5,1769.25788551731,False
5,3,6,1647.6553683800105,False
5,3,7,1605.2229170706064,False
5,3,8,1615.062071968437,False
5,3,9,1578.0830023291267,False
5,3,10,1589.5722646771062,False
5,3,11,1607.4959780266179,False
5,3,12,1597.863344979799,False
5,3,13,1710.1602904839588,False
5,3,14,1569.688897385173,False
5,4,5,1912.6481952152,False
5,4,6,1945.6744139268455,False
5,4,7,2106.8963893059254,False
5,4,8,1846.795123366499,False
5,4,9,1711.906731474198,False
5,4,10,1608.3053714371438,False
5,4,11,1850.5376773680343,False
5,4,12,1690.4045809022502,False
5,4,13,1597.4833045177859,False
5,4,14,1722.9442602957724,False
5,5,5,1557.6069799624702,False
5,5,6,1559.068287999429,False
5,5,7,1557.8058365394957,False
5,5,8,1560.830216336095,False
5,5,9,1557.1478388700236,False
5,5,10,1556.9912120820081,False
5,5,11,1558.0473915305454,False
5,5,12,1557.127873025138,False
5,5,13,1557.1436488465415,False
5,5,14,1557.5862384868556,False
5,6,5,1559.010104020501,False
5,6,6,1557.7889044372184,False
5,6,7,1557.7061767149812,False
5,6,8,1558.0062428125975,False
5,6,9,1557.3960851524712,False
5,6,10,1557.3960851524712,False
5,6,11,1557.3960851524712,False
5,6,12,1557.3960851524712,False
5,6,13,1557.3960851524712,False
5,6,14,1557.3960851524712,False
5,7,5,1814.4847889388936,False
5,7,6,1643.9374739791815,False
5,7,7,1783.5320677748905,False
5,7,8,1809.0578609566462,False
5,7,9,1557.3960851524712,False
5,7,10,1557.3960851524712,False
5,7,11,1557.3960851524712,False
5,7,12,1557.3960851524712,False
5,7,13,1557.3960851524712,False
5,7,14,1557.3960851524712,False
5,8,5,1557.3960851524712,False
5,8,6,1557.3960851524712,False
5,8,7,1557.3960851524712,False
5,8,8,1557.3960851524712,False
5,8,9,1557.3960851524712,False
5,8,10,1557.3960851524712,False
5,8,11,1557.3960851524712,False
5,8,12,1557.3960851524712,False
5,8,13,1557.3960851524712,False
5,8,14,1557.3960851524712,False
5,9,5,1557.3960851524712,False
5,9,6,1557.3960851524712,False
5,9,7,1557.3960851524712,False
5,9,8,1557.3960851524712,False
5,9,9,1557.3960851524712,False
5,9,10,1557.3960851524712,False
5,9,11,1557.3960851524712,False
5,9,12,1557.3960851524712,False
5,9,13,1557.3960851524712,False
5,9,14,1557.3960851524712,False
5,10,5,1557.3960851524712,False
5,10,6,1557.3960851524712,False
5,10,7,1557.3960851524712,False
5,10,8,1557.3960851524712,False
5,10,9,1557.3960851524712,False
5,10,10,1557.3960851524712,False
5,10,11,1557.3960851524712,False
5,10,12,1557.3960851524712,False
5,10,13,1557.3960851524712,False
5,10,14,1557.3960851524712,False
6,1,5,4606.266025317414,False
6,1,6,4716.429397234962,False
6,1,7,3685.1442812545006,False
6,1,8,4858.299915889744,False
6,1,9,3178.8117700600355,False
6,1,10,4537.289602874446,False
6,1,11,4556.3849849949875,False
6,1,12,4643.8778937665265,False
6,1,13,2954.8377662146927,False
6,1,14,3963.1715396534955,False
6,2,5,4549.0459787804675,False
6,2,6,4502.529963581067,False
6,2,7,2427.165796725213,False
6,2,8,2389.4957811032186,False
6,2,9,2359.579030532361,False
6,2,10,2498.486561254825,False
6,2,11,2011.6086716950006,False
6,2,12,1657.7240118932189,False
6,2,13,2272.801257077792,False
6,2,14,1784.0592761359671,False
6,3,5,4574.890876595422,False
6,3,6,3948.7637025791446,False
6,3,7,2343.461240391842,False
6,3,8,4627.37571962276,False
6,3,9,2651.6788875590105,False
6,3,10,2290.7899708013833,False
6,3,11,3916.8818155731865,False
6,3,12,3367.599137671355,False
6,3,13,2884.9929477713235,False
6,3,14,1842.6257013431666,False
6,4,5,1968.9259985032045,False
6,4,6,2026.1081668220593,False
6,4,7,3477.2385452415765,False
6,4,8,4137.769356883947,False
6,4,9,3397.1194090806734,False
6,4,10,4542.189839976398,False
6,4,11,2231.956812988947,False
6,4,12,4659.891739470602,False
6,4,13,1787.1847959490785,False
6,4,14,2432.050203438872,False
6,5,5,1558.4444856475736,False
6,5,6,1557.9539142981141,False
6,5,7,1558.3030358451383,False
6,5,8,1557.6693777165492,False
6,5,9,1557.971532486303,False
6,5,10,1557.8849318751927,False
6,5,11,1557.9983047351925,False
6,5,12,1558.5564612159824,False
6,5,13,1558.1801198451278,False
6,5,14,1558.359662862229,False
6,6,5,1557.3960851524712,False
6,6,6,1557.3960851524712,False
6,6,7,1557.3960851524712,False
6,6,8,1557.3960851524712,False
6,6,9,1557.3960851524712,False
6,6,10,1557.3960851524712,False
6,6,11,1557.3960851524712,False
6,6,12,1557.3960851524712,False
6,6,13,1557.3960851524712,False
6,6,14,1557.3960851524712,False
6,7,5,1557.3960851524712,False
6,7,6,1557.3960851524712,False
6,7,7,1557.3960851524712,False
6,7,8,1557.3960851524712,False
6,7,9,1557.3960851524712,False
6,7,10,1557.3960851524712,False
